Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
,,,,,,,,,,,,,,,,,,,
quartzSettingGeneral,UI,Menu,x,,General,,,,,,,,,,,,,常規,
quartzSettingGeneralTooltip,UI,Menu,x,,General settings for Quartz,,,,,,,,,,,,,Quartz 常規設置,
quartzSettingDebug,UI,Menu,x,,Debug,,,,,,,,,,,,,偵錯,
quartzSettingDebugTooltip,UI,Menu,x,,Debugging settings for Quartz,,,,,,,,,,,,,Quartz 調試設定,
quartzSettingTextResolution,UI,Menu,x,,Text Resolution,,,,,,,,,,,,,文字分辨率,
quartzSettingTextResolutionTooltip,UI,Menu,x,,"Sets the Text resolution. If set to high, may cause flickering of the UI every so often",,,,,,,,,,,,,設定文字解析度。如果設定為高，可能會導致 UI 偶爾閃爍。,
quartzSettingDebugMode,UI,Menu,x,,Debug Mode,,,,,,,,,,,,,偵錯模式,
quartzSettingDebugModeTooltip,UI,Menu,x,,Enables or disable Quartz debug mode,,,,,,,,,,,,,啟用或停用 Quartz 調試模式。,
quartzSettingKeybinding,UI,Menu,x,,Key Bindings,,,,,,,,,,,,,按鍵綁定,
quartzSettingInputInventoryKeybindingTooltip,UI,Menu,x,,Inventory Player Key Bindings,,,,,,,,,,,,,物品欄玩家按鍵綁定,
quartzSettingInputLockedSlots,UI,Menu,x,,Lock Slots,,,,,,,,,,,,,鎖定插槽,
quartzSettingInputLockedSlotsTooltip,UI,Menu,x,,Locks or Unlocks inventory slot when the slot is clicked on,,,,,,,,,,,,,點擊插槽時鎖定或解鎖物品欄槽位。,
quartzSettingInputMinimapKeybindingTooltip,UI,Menu,x,,Minimap Player Key Bindings,,,,,,,,,,,,,小地圖玩家按鍵綁定,
quartzSettingInputMinimapToggle,UI,Menu,x,,Toggle Minimap,,,,,,,,,,,,,切換小地圖,
quartzSettingInputMinimapToggleTooltip,UI,Menu,x,,Toggle the minimap on or off,,,,,,,,,,,,,打開或關閉小地圖。,
quartzSettingInputMinimapZoomIn,UI,Menu,x,,Zoom In,,,,,,,,,,,,,放大,
quartzSettingInputMinimapZoomIn2,UI,Menu,x,,Minimap Zoom In,,,,,,,,,,,,,小地圖放大,
quartzSettingInputMinimapZoomInTooltip,UI,Menu,x,,Zooms in on the minimap,,,,,,,,,,,,,放大小地圖。,
quartzSettingInputMinimapZoomOut,UI,Menu,x,,Zoom Out,,,,,,,,,,,,,縮小,
quartzSettingInputMinimapZoomOut2,UI,Menu,x,,Minimap Zoom Out,,,,,,,,,,,,,小地圖縮小,
quartzSettingInputMinimapZoomOutTooltip,UI,Menu,x,,Zooms out on the minimap,,,,,,,,,,,,,縮小小地圖。,
quartzSettingMinimap,UI,Menu,x,,Minimap,,,,,,,,,,,,,小地圖,
quartzSettingMinimapTooltip,UI,Menu,x,,Settings related to the minimap. Only applies for UI mods that use's Quartz' minimap backend,,,,,,,,,,,,,與小地圖相關的設定。僅適用於使用 Quartz 小地圖後端的 UI 模組,
quartzSettingMinimapShow,UI,Menu,x,,Show Minimap,,,,,,,,,,,,,顯示小地圖,
quartzSettingMinimapShowTooltip,UI,Menu,x,,Shows or hides the minimap if there is a minimap in the ingame UI,,,,,,,,,,,,,如果遊戲內 UI 中有小地圖，則顯示或隱藏小地圖,
quartzSettingMinimapIconsShow,UI,Menu,x,,Show Minimap Icons,,,,,,,,,,,,,顯示小地圖圖標,
quartzSettingMinimapIconsShowTooltip,UI,Menu,x,,Show or hide the minimap icons,,,,,,,,,,,,,顯示或隱藏小地圖圖標,
quartzSettingMinimapTextShow,UI,Menu,x,,Show Icon Names,,,,,,,,,,,,,顯示圖標名稱,
quartzSettingMinimapTextShowTooltip,UI,Menu,x,,Show or Hide the icons Names on the minimap,,,,,,,,,,,,,顯示或隱藏小地圖上的圖示名稱,
quartzSettingMinimapIconsOnlyShow,UI,Menu,x,,Show Minimap Only Icons,,,,,,,,,,,,,僅顯示小地圖圖標,
quartzSettingMinimapIconsOnlyShowTooltip,UI,Menu,x,,Show or Hide minimap only icons, these icons only show up on the minimap and not on the main map,,,,,,,,,,,,顯示或隱藏小地圖圖標,
quartzSettingMinimapRotateWithPlayer,UI,Menu,x,,Rotate With View,,,,,,,,,,,,,隨視圖旋轉,
quartzSettingMinimapRotateWithPlayerTooltip,UI,Menu,x,,Rotates the minimap to follow the player's view, so the player is always facing to the top of the minimap,,,,,,,,,,,,旋轉小地圖以跟隨玩家視角,
quartzSettingMinimapIconScale,UI,Menu,x,,Minimap Icons Scale,,,,,,,,,,,,,小地圖圖示比例,
quartzSettingMinimapIconScaleTooltip,UI,Menu,x,,Adjusts the scale of the icons on the minimap,,,,,,,,,,,,,調整小地圖上圖示的比例,
quartzSettingMinimapIconOpacity,UI,Menu,x,,Minimap Icon Opacity,,,,,,,,,,,,,小地圖圖示不透明度,
