"Key","english",,"german","latam","french","italian","japanese","koreana","polish","brazilian","russian","turkish","schinese","tchinese"
"goDifficulty1","[D3CE1D]Tarkov Peaceful[-]",,,,,,,,,,,,,"[D3CE1D]塔科夫和平[-]"
"goDifficulty2","[D3CE1D]Tarkov Easy[-]",,,,,,,,,,,,,"[D3CE1D]塔科夫簡單[-]"
"goDifficulty3","[D3CE1D]Tarkov Default[-]",,,,,,,,,,,,,"[D3CE1D]塔科夫預設[-]"
"goDifficulty4","[D3CE1D]Tarkov Hard[-]",,,,,,,,,,,,,"[D3CE1D]塔科夫困難[-]"
"goDifficulty5","[D3CE1D]Tarkov Extreme[-]",,,,,,,,,,,,,"[D3CE1D]塔科夫極限[-]"
"goDifficulty6","[D3CE1D]Tarkov Death[-]",,,,,,,,,,,,,"[D3CE1D]塔科夫死亡[-]"
"goDifficultyDesc","Recommended Difficulty Is Tarkov [D3CE1D]Default[-]\n\n[D3CE1D]Peaceful[-]: Take [4FBE28]50%[-] less damage.\nNo death penalty.\nArmored zombie spawn chance: 10%\nRandom zombie health range: -10%/+10%\n[D3CE1D]Easy[-]: Take [4FBE28]25%[-] less damage.\nNo death penalty.\nArmored zombie spawn chance: 10%\nRandom zombie health range: -10%/+10%\n[D3CE1D]Default[-]: No penalties. Default experience.\nDying reduces your max HP by 10. Max health does not drop below 100.\nArmored zombie spawn chance: 30%\nRandom zombie health range: -10%/+10%\n[D3CE1D]Hard[-]: Take [FF4F33]50%[-] more damage.\nIncreased death penalty: you loose 50% of your HP (above 100)\nArmored zombie spawn chance: 50%\nRandom zombie health range: -5%/+10%\n[D3CE1D]Extreme[-]: Take [FF4F33]100%[-] more damage.\nIncreased death penalty: you loose all your HP (above 100) and there is a 25% chance for all your action skills to reset.\nArmored zombie spawn chance: 100%\nRandom zombie health range: -0%/+10%\n[D3CE1D]Death[-]: Same like Extreme, but every zombie [FF4F33]one shots[-] you.\n100% chance for action skills to reset on death.",,,,,,,,,,,,,"推薦的難度為 [D3CE1D]塔科夫預設[-]\n\n[D3CE1D]和平[-]：受到 [4FBE28]50%[-] 更少的傷害。\n無死亡懲罰。\n裝甲喪屍的出現機率：10%\n隨機喪屍血量範圍：-10%/+10%\n[D3CE1D]簡單[-]：受到 [4FBE28]25%[-] 更少的傷害。\n無死亡懲罰。\n裝甲喪屍的出現機率：10%\n隨機喪屍血量範圍：-10%/+10%\n[D3CE1D]預設[-]：無懲罰。預設的遊戲體驗。\n死亡會使你的最大生命值降低 10，最大生命值不會低於 100。\n裝甲喪屍的出現機率：30%\n隨機喪屍血量範圍：-10%/+10%\n[D3CE1D]困難[-]：受到 [FF4F33]50%[-] 更多的傷害。\n增加的死亡懲罰：你會失去 50% 的生命值（高於 100）。\n裝甲喪屍的出現機率：50%\n隨機喪屍血量範圍：-5%/+10%\n[D3CE1D]極限[-]：受到 [FF4F33]100%[-] 更多的傷害。\n增加的死亡懲罰：你會失去所有生命值（高於 100），並有 25% 的機率讓所有動作技能重置。\n裝甲喪屍的出現機率：100%\n隨機喪屍血量範圍：-0%/+10%\n[D3CE1D]死亡[-]：與極限模式相同，但每個喪屍對你的攻擊皆為 [FF4F33]一擊必殺[-]。\n死亡時所有動作技能 100% 機率重置。"
"goDeleteAllNOTUSED","[D3CE1D]Tarkov Loose Everything[-]",,,,,,,,,,,,,"[D3CE1D]塔科夫失去一切[-]"
"goDropOnDeathDescNOTUSED","In Tarkov, you die, you loose everything.",,,,,,,,,,,,,"在塔科夫，你死了，你就失去了一切。"
"loadingTipEft1_title","Escape From Tarkov Overhaul - v1.0Test",,,,,,,,,,,,,"逃離塔科夫大修 - v1.0測試版"
"loadingTipEft1","This is test version 1.0 of the Escape From Tarkov Overhaul.\nMost prominent new features: Action Skills, new gun handling system, economy reballance & more trader heavy gameplay and a lot more ballance/gameplay changes. The game is overall even harder now.\nRemoved: perks, perk books, readable magazines, sneak damage, stealth, all armor modifiers (besides helmet light & NVG's), non-military looking armors.",,,,,,,,,,,,,"這是逃離塔科夫大修的1.0測試版。 \n最突出的新功能：行動技能、新的槍支操控系統、經濟平衡調整、更多以商人為主的玩法以及更多平衡性/玩法改動。遊戲現在整體難度更高。 \n移除：技能、技能書、可讀彈夾、潛行傷害、潛行、所有護甲修改器（頭盔燈和夜視鏡除外）、非軍用護甲。"
"loadingTipEft2_title","New Guns And Attachments",,,,,,,,,,,,,"全新槍支和配件"
"loadingTipEft2","This mod adds over 100+ guns with over 200+ multifunctional attachments like reflex sights, scopes, grips, stocks, muzzle adapters and silencers. You can acquire guns and attachments by crafting them or finding them in weaponry-related loot.",,,,,,,,,,,,,"此模組新增了 100 多支槍支，以及 200 多種多功能配件，例如反射式瞄準鏡、瞄準鏡、握把、槍托、槍口適配器和消音器。您可以透過製作或在武器相關戰利品中獲取槍支和配件。"
"loadingTipEft3_title","Ammo And Disassembly",,,,,,,,,,,,,"彈藥和拆卸"
"loadingTipEft3","This mod adds 17 new ammo types; each consisting of Ball, Hollow Point and Armor Piercing.\nYou will have to adjust your ammo type, depending on which zombies you face. While armor piercing ammo is more effective against zombies with helmets or body armor, hollow point ammo can be more useful for killing fat or radiated zombies.\nAmmo can be disassembled to get all their resources: type 'disassembly' in the crafting window to craft disassembly bundles.",,,,,,,,,,,,,"此模組新增了 17 種彈藥類型，包括普通彈、空尖彈和穿甲彈。 \n您需要根據所面對的殭屍類型調整彈藥類型。穿甲彈對戴頭盔或防彈衣的殭屍更有效，而空尖彈則更適合消滅肥胖殭屍或輻射殭屍。 \n彈藥可以拆卸以獲取所有資源：在製作窗口中輸入“拆解”即可製作拆解包。"
"loadingTipEft4_title","New Items",,,,,,,,,,,,,"新物品"
"loadingTipEft4","This mod adds a lot of useful items. Chemical crafting items, rare valuables, medics, food, drinks, liquor & injectors. Ammo crafting is more complex and all consumnables have their respective animations.",,,,,,,,,,,,,"此模組新增了許多實用物品。化學合成物品、稀有物品、醫療器材、食物、飲料、酒類和注射器。彈藥合成更加複雜，所有消耗品都有各自的動畫。"
"loadingTipEft5_title","New Perks",,,,,,,,,,,,,"新技能"
"loadingTipEft5","All vanilla perks have been reworked to fit the general ballance of the mod.\nNew perks like gun handling, combat stimulant and counterfeit money habe been added.",,,,,,,,,,,,,"所有原始技能均已重製，以適應模組的整體平衡性。 \n新增了槍枝操作、戰鬥興奮劑和假幣等新技能。"
"loadingTipEft6_title","Learn By Doing & Action Skills",,,,,,,,,,,,,"透過動手 & 實際行動學習"
"loadingTipEft6","This mod features learn by doing; you can unlock upgrades by using your weapons, tools or armor. Doing certain actions like shooting, levels up your action skills, which can improve your gun handling.",,,,,,,,,,,,,"透過動手 & 實際行動學習為特色；你可以使用武器、工具或盔甲來解鎖升級。執行某些操作（例如射擊）可以升級你的行動技能，從而提高你的槍支操作能力。"
"loadingTipEft7_title","Economy And Traders",,,,,,,,,,,,,"經濟與貿易"
"loadingTipEft7","The currency has been changed to roubles.",,,,,,,,,,,,,"貨幣已更改為盧布。"
"loadingTipEft8_title","Tiers & Progression",,,,,,,,,,,,,"等級與進度"
"loadingTipEft8","Tier 1 items are displayed in a white color, Tier 2: green, Tier 3: blue, Tier 4: Purple, Tier 5: Gold\nIt is expected to deliver enough content to have a minimum playtime of 50-70 hours per world. Experience gain and zombie progression has been adjusted to give a smooth feeling of progression troughout your run.",,,,,,,,,,,,,"1級物品顯示為白色，2級：綠色，3級：藍色，4級：紫色，5級：金色\n預計每個世界將提供足夠的內容，至少可玩50-70小時。經驗值獲取和殭屍進程已調整，讓您在整個遊戲過程中獲得流暢的進程感。"
"loadingTipEft9_title","Armored & Radiated Zombies",,,,,,,,,,,,,"裝甲殭屍和輻射殭屍"
"loadingTipEft9","Armored Zombies are very tough against ball ammo and hollow point ammo - these generally deal 5 times less damage. Armor piercing ammo on the other hand is very effective.\nRadiated Zombies heal very quick and have a lot of health. It is recommended to either use Hollow Point ammo, since they do more damage, or use ball ammo with a Radiation Disruptor.",,,,,,,,,,,,,"使用普通彈和空尖彈裝甲殭屍非常難以對付——這些彈藥通常造成的傷害要低5倍。另一方面，穿甲彈非常有效。 \n輻射殭屍的治療速度非常快，且生命值很高。建議使用空尖彈，因為它們造成的傷害更高，或使用普通彈和輻射干擾器。"
"loadingTipEft10_title","Wights & Special Zombies",,,,,,,,,,,,,"屍鬼和特殊殭屍"
"loadingTipEft10","Wights are extremely dangerous, they are very fast and deal very much damage.\nSome zombies have a chance to carry lootcontainers on their back, which they drop on death.",,,,,,,,,,,,,"屍鬼極度危險，它們速度非常快，造成的傷害也很高。 \n有些殭屍有機會攜帶戰利品容器，它們死亡時會掉落。"
"loadingTipEft11_title","Looting",,,,,,,,,,,,,"戰利品"
"loadingTipEft11","All loot containers have been reworked and now contain the items that you expect them to contain. A weapon rack with a weapon displayed now always contains a weapon, a magazine shelf now always contain magazines, a shelf with chemical items contains chemical items and so on.",,,,,,,,,,,,,"所有戰利品容器都經過重製，現在包含您預期的物品。現在，展示武器的武器架上總是會顯示武器，彈匣架上總是會顯示彈匣，放置化學物品的架子上總是會顯示化學物品等等。"
"loadingTipEft12_title","Work In Progress",,,,,,,,,,,,,"工作正在進行中"
"loadingTipEft12","Keep in mind that even though this is the first stable release, minor issues and unballanced things are still possible.",,,,,,,,,,,,,"請注意，即使這是第一個穩定版本，仍然可能存在一些小問題和不平衡之處。"
"guns and gun handling",,,,,,,,,,,,,,
"attachments",,,,,,,,,,,,,,
"tiers",,,,,,,,,,,,,,
"reworked vanilla items",,,,,,,,,,,,,,
"ammo types",,,,,,,,,,,,,,
"armored zombies and demo",,,,,,,,,,,,,,
"radiated zombies",,,,,,,,,,,,,,
"wight",,,,,,,,,,,,,,
"new craftable blocks",,,,,,,,,,,,,,
"action skills",,,,,,,,,,,,,,
"learn by doing",,,,,,,,,,,,,,
"schematics",,,,,,,,,,,,,,
"economy and specific trader types",,,,,,,,,,,,,,
"logical looting",,,,,,,,,,,,,,
"mention:",,,,,,,,,,,,,,
"sneak damage removal",,,,,,,,,,,,,,
"stealth removal",,,,,,,,,,,,,,
"perk removal",,,,,,,,,,,,,,
"armor changes (armor piece removal"," armor modifier removal (besides helmet)",,,,,,,,,,,,,"移除盔甲修正（頭盔除外）"
"lblCharacterStats3","Current Gun Stats",,,,,,,,,,,,,"當前槍枝屬性"
"lblCharacterStats4","Action Skills",,,,,,,,,,,,,"行動技能"
"lblCharacterStats5","Action Skills",,,,,,,,,,,,,"行動技能"
