key,english,tchinese
modbipodrailRexanaDesc,"Weight: [4FBE28]0.310kg[-]\nErgonomics: [FF4F33]-10%[-] / [4FBE28]+25%[-] when deployed\nHipfire Accuracy: [FF4F33]-12%[-]\nRecoil: [4FBE28]-30%[-] when deployed\n\nCompatibility: many rifles and STM-9",重量: [4FBE28]0.310kg[-]\n人機功效: [FF4F33]-10%[-] / [4FBE28]+25%[-] 當部署時\n腰射精準度: [FF4F33]-12%[-]\n後座力: [4FBE28]-30%[-] 當部署時\n\n相容性: 多種步槍及 STM-9  
modgriphksturmgriffDesc,"Weight: [4FBE28]0.070kg[-]\nErgonomics: [4FBE28]+10%[-]\nHipfire Accuracy: [4FBE28]+5%[-]\nRecoil: [4FBE28]-4%[-]\n\nCompatibility: General grip fits on most firearms. Enables side attachments like laser/light on guns with shorter handguards.",重量: [4FBE28]0.070kg[-]\n人機功效: [4FBE28]+10%[-]\n腰射精準度: [4FBE28]+5%[-]\n後座力: [4FBE28]-4%[-]\n\n相容性: 通用握把，適用於多數槍械。可用於短護木槍械以安裝側面配件（如雷射/燈光）。  
modgripmagpulrvgDesc,"Weight: [4FBE28]0.080kg[-]\nErgonomics: [4FBE28]+20%[-]\nHipfire Accuracy: [4FBE28]+10%[-]\nRecoil: [4FBE28]-6%[-]\n\nCompatibility: General grip fits on most firearms. Enables side attachments like laser/light on guns with shorter handguards.",重量: [4FBE28]0.080kg[-]\n人機功效: [4FBE28]+20%[-]\n腰射精準度: [4FBE28]+10%[-]\n後座力: [4FBE28]-6%[-]\n\n相容性: 通用握把，適用於多數槍械。可用於短護木槍械以安裝側面配件（如雷射/燈光）。  
modgripzenitrk1Desc,"Weight: [4FBE28]0.170kg[-]\nErgonomics: [4FBE28]+30%[-]\nHipfire Accuracy: [4FBE28]+15%[-]\nRecoil: [4FBE28]-10%[-]\n\nCompatibility: General grip fits on most firearms. Enables side attachments like laser/light on guns with shorter handguards.",重量: [4FBE28]0.170kg[-]\n人機功效: [4FBE28]+30%[-]\n腰射精準度: [4FBE28]+15%[-]\n後座力: [4FBE28]-10%[-]\n\n相容性: 通用握把，適用於多數槍械。可用於短護木槍械以安裝側面配件（如雷射/燈光）。  
modgripzenitb25urk1Desc,"Weight: [4FBE28]0.180kg[-]\nErgonomics: [4FBE28]+25%[-]\nHipfire Accuracy: [4FBE28]+20%[-]\nRecoil: [4FBE28]-8%[-]\n\nCompatibility: General grip fits on most firearms. Enables side attachments like laser/light on guns with shorter handguards.",重量: [4FBE28]0.180kg[-]\n人機功效: [4FBE28]+25%[-]\n腰射精準度: [4FBE28]+20%[-]\n後座力: [4FBE28]-8%[-]\n\n相容性: 通用握把，適用於多數槍械。可用於短護木槍械以安裝側面配件（如雷射/燈光）。  
modsilencertt33makeshiftDesc,"Weight: [4FBE28]0.320kg[-]\nRecoil: [4FBE28]-10%[-]\nErgonomics: [FF4F33]-10%[-]\nHipfire Accuracy: [FF4F33]-10%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: TT-33",重量: [4FBE28]0.320kg[-]\n後座力: [4FBE28]-10%[-]\n人機功效: [FF4F33]-10%[-]\n腰射精準度: [FF4F33]-10%[-]\n耐久度消耗: [FF4F33]+25%[-]\n\n相容性: TT-33  
modmuzzlettlaserdtkDesc,"Weight: [4FBE28]0.036kg[-]\nRecoil: [4FBE28]-15%[-]\n\nCompatibility: TT-33",重量: [4FBE28]0.036kg[-]\n後座力: [4FBE28]-15%[-]\n\n相容性: TT-33  
modsilencerstechkinstdDesc,"Weight: [4FBE28]0.490kg[-]\nRecoil: [4FBE28]-16%[-]\nErgonomics: [FF4F33]-12%[-]\nHipfire Accuracy: [FF4F33]-12%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: Stechkin APS",重量: [4FBE28]0.490kg[-]\n後座力: [4FBE28]-16%[-]\n人機功效: [FF4F33]-12%[-]\n腰射精準度: [FF4F33]-12%[-]\n耐久度消耗: [FF4F33]+25%[-]\n\n相容性: Stechkin APS  
modsilencerpp9klinDesc,"Weight: [4FBE28]0.200kg[-]\nRecoil: [4FBE28]-18%[-]\nErgonomics: [FF4F33]-10%[-]\nHipfire Accuracy: [FF4F33]-10%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: PP-9",重量: [4FBE28]0.200kg[-]\n後座力: [4FBE28]-18%[-]\n人機功效: [FF4F33]-10%[-]\n腰射精準度: [FF4F33]-10%[-]\n耐久度消耗: [FF4F33]+25%[-]\n\n相容性: PP-9  
modmuzzlemp5btqdbrakeDesc,"Weight: [4FBE28]0.128kg[-]\nRecoil: [4FBE28]-16%[-]\n\nCompatibility: MP5",重量: [4FBE28]0.128kg[-]\n後座力: [4FBE28]-16%[-]\n\n相容性: MP5  
