key,english,tchinese
09FF00 2,,
004CFF 3,,
BB00FF 4,,
FFD700 5,,
foodMayo,"Jar of Devildog Mayo",Devildog 美乃滋罐
foodMayoDesc,"A jar of mayo, slurp slurp.",一罐美乃滋，咕嚕咕嚕。
foodSausage,"Salty Dog Sausage",Salty Dog 香腸
foodSausageDesc,"Doesn't contain dog meat.",不含狗肉。
foodOatFlakes,"Oatmeal",燕麥片
foodOatFlakesDesc,"A good source of carbohydrate.",良好的碳水化合物來源。
medicalSplint,"Aluminum splint",鋁製夾板
medicalSplintDesc,"A folded aluminum splint for fixing damaged limbs in place. ",折疊鋁製夾板，用於固定受損的肢體。
medicalPlasterCast,"Immobilizing splint",固定夾板
medicalPlasterCastDesc,"A splint for fixing damaged bones in place. ",夾板用於固定受損骨骼。
modpistolscopemount,"Pistol Scope/Tactical Mount",手槍瞄準鏡/戰術支架
modpistolscopemountDesc,"This attachment enables optics/laser/light on these pistols: PM Alphadog, M9A3, FN-57, P226R.",此配件允許在以下手槍上安裝光學瞄具/雷射/燈光：PM Alphadog、M9A3、FN-57、P226R。
modrailhandguard,"Rail System Handguard",導軌系統護木
modrailhandguardDesc,"This attachment adds a rail-system to some guns without picatinny rails, allowing the installation of additional attachments on your guns like: underbarrel, canted sight, foregrip, laser/light, bipod...; Guns with shorter handguards/rail platform (examples: M4A1, MP5, AKM) would require a 'foregrip' as a pre-requirement before laser/light could be installed. ",此配件為沒有皮卡汀尼導軌的部分槍支添加導軌系統，使其能夠安裝額外的配件，例如：下掛武器、傾斜瞄具、前握把、雷射/燈光、兩腳架……；槍支若採用較短的護木/導軌平台（如 M4A1、MP5、AKM），則需要先安裝「前握把」才能安裝雷射/燈光。
modm203grenadelaunchersDesc,"Weight: [4FBE28]1.360kg[-]\nMount this grenade launcher on your gun to shoot grenades.\nPress [D3CE1D]X[-] to switch to grenade launcher.\n\nCompatibility: many Rifles, some SMGs and Saiga 12K. ",重量：[4FBE28]1.360kg[-]\n將此榴彈發射器安裝在槍支上以發射榴彈。\n按 [D3CE1D]X[-] 切換至榴彈發射器。\n\n相容性：多數步槍，部分衝鋒槍及 Saiga 12K。
modgp25grenadelauncherDesc,"Weight: [4FBE28]1.400kg[-]\nMount this grenade launcher on your gun to shoot grenades.\nPress [D3CE1D]X[-] to switch to grenade launcher.\n\nCompatibility: All AK variants and not AKS-74UN. ",重量：[4FBE28]1.400kg[-]\n將此榴彈發射器安裝在槍支上以發射榴彈。\n按 [D3CE1D]X[-] 切換至榴彈發射器。\n\n相容性：所有 AK 變種，但不包含 AKS-74UN。
modscopePU3_5x,"[09FF00]PU 3.5x Scope[-]",[09FF00]PU 3.5x 瞄準鏡[-]
modscopePU3_5xDesc,"Weight: [4FBE28]0.440kg[-]\n\nCompatibility: Mosin Nagant, SVT-40",重量：[4FBE28]0.440kg[-]\n\n相容性：Mosin Nagant、SVT-40。
modscopeaimpointAcroP1,"[09FF00]Aimpoint ACRO P-1 Reflex Sight[-]",[09FF00]Aimpoint ACRO P-1 反射瞄準鏡[-]
modscopeaimpointAcroP1Desc,"Weight: [4FBE28]0.130kg[-]\n\nCompatibility: most firearms",重量：[4FBE28]0.130kg[-]\n\n相容性：大部分槍械。
modscopeaimpointMicroH2,"[09FF00]Aimpoint Micro H2 Reflex Sight[-]",[09FF00]Aimpoint Micro H2 反射瞄準鏡[-]
modscopeaimpointMicroH2Desc,"Weight: [4FBE28]0.109kg[-]\n\nCompatibility: most firearms",Weight: [4FBE28]0.109kg[-]\n\n相容性: 大多數的槍枝
modscopeaimpointMicroT1,"[09FF00]Aimpoint Micro T1 Reflex Sight[-]",[09FF00]Aimpoint Micro T1 反射瞄準鏡[-]
modscopeaimpointMicroT1Desc,"Weight: [4FBE28]0.099kg[-]\n\nCompatibility: most firearms",Weight: [4FBE28]0.099kg[-]\n\n相容性: 大多數的槍枝
modscopeBelOMOpk06,"[09FF00]BelOMO PK-06 Reflex Sight[-]",[09FF00]BelOMO PK-06 反射瞄準鏡[-]
modscopeBelOMOpk06Desc,"Weight: [4FBE28]0.090kg[-]\n\nCompatibility: most firearms",Weight: [4FBE28]0.090kg[-]\n\n相容性: 大多數的槍枝
modscopeburrisfastfire,"[09FF00]Burris Fastfire Reflex 3 Sight[-]",[09FF00]Burris Fastfire Reflex 3 瞄準鏡[-]
modscopeburrisfastfireDesc,"Weight: [4FBE28]0.042kg[-]\n\nCompatibility: most firearms",Weight: [4FBE28]0.042kg[-]\n\n相容性: 大多數的槍枝
modscopeSIGromeo4,"[09FF00]SIG SAUER ROMEO 4 Reflex Sight[-]",[09FF00]SIG SAUER ROMEO 4 反射瞄準鏡[-]
modscopeSIGromeo4Desc,"Weight: [4FBE28]0.104kg[-]\n\nCompatibility: most firearms",Weight: [4FBE28]0.104kg[-]\n\n相容性: 大多數的槍枝
modscopeRMR,"[09FF00]Trijicon RMR Reflex Sight[-]",[09FF00]Trijicon RMR 反射瞄準鏡[-]
modscopeRMRDesc,"Weight: [4FBE28]0.042kg[-]\n\nCompatibility: most firearms",Weight: [4FBE28]0.042kg[-]\n\n相容性: 大多數的槍枝
modscopeleupolddeltapoint,"[09FF00]Leupold DeltaPoint Reflex Sight[-]",[09FF00]Leupold DeltaPoint 反射瞄準鏡[-]
modscopeleupolddeltapointDesc,"Weight: [4FBE28]0.098kg[-]\n\nCompatibility: most firearms",Weight: [4FBE28]0.098kg[-]\n\n相容性: 大多數的槍枝
modscopeAimPointCompM4,"[09FF00]AimPoint CompM4 Reflex Sight[-]",[09FF00]AimPoint CompM4 反射瞄準鏡[-]
modscopeAimPointCompM4Desc,"Weight: [4FBE28]0.445kg[-]\n\nCompatibility: most firearms",Weight: [4FBE28]0.445kg[-]\n\n相容性: 大多數的槍枝
modscopeAimPointPro,"[09FF00]AimPoint PRO Reflex Sight[-]",[09FF00]AimPoint PRO 反射瞄準鏡[-]
modscopeAimPointProDesc,"Weight: [4FBE28]0.345kg[-]\n\nCompatibility: most firearms",Weight: [4FBE28]0.345kg[-]\n\n相容性: 大多數的槍枝
modscopeaksionEKP818,"[09FF00]Aksion Kobra EKP-8-18 Reflex Sight[-]",[09FF00]Aksion Kobra EKP-8-18 反射瞄準鏡[-]
modscopeaksionEKP818Desc,"Weight: [4FBE28]0.270kg[-]\n\nCompatibility: most firearms",Weight: [4FBE28]0.270kg[-]\n\n相容性: 大多數的槍枝
modscopeaksionEKP1s03,"[09FF00]Aksion Kobra EKP-1S-03 Reflex Sight Dovetail[-]",[09FF00]Aksion Kobra EKP-1S-03 反射瞄準鏡燕尾導軌[-]
